LOG CRIADO EM: 8/10/2014 22:14:57
ENVIANDO PROGRAMAÇÃO:
029F00017F039E --><-- ACK
02A00400FFFFFFF07F03AB --><-- ACK
02A10401FFFFFFF07F03AB --><-- ACK
02A20402FFFFFFF07F03AB --><-- ACK
02A30403000000017F03A5 --><-- ACK
02A40404FFFFFFF07F03AB --><-- ACK
02A50405FFFFFFF07F03AB --><-- ACK
02A60406FFFFFFF07F03AB --><-- ACK
02A70407000000007F03A4 --><-- ACK
02A80408000000007F03A4 --><-- ACK
02A90409000000027F03A6 --><-- ACK
02AA040A000000007F03A4 --><-- ACK
02AB040BFFFFFFFF7F03A4 --><-- ACK
02AC040CFFFFFFFF7F03A4 --><-- ACK
02AD01FFF1FFFFFFF100000000FFFFFFFB7F03A8 --><-- ACK
02AE01FFF2FFFFFFF200000000FFFFFFFB7F03AB --><-- ACK
02AF01FFF3FFFFFFF300000000FFFFFFFB7F03AA --><-- ACK
02B001FFF4FFFFFFF400000000FFFFFFFB7F03B5 --><-- ACK
02B101FFF5FFFFFFF500000000FFFFFFFB7F03B4 --><-- ACK
02B201FFF6FFFFFFF600000000FFFFFFFB7F03B7 --><-- ACK
02B301FFF7FFFFFFF700000000FFFFFFFB7F03B6 --><-- ACK
02B401FFF8FFFFFFF800000000FFFFFFFB7F03B1 --><-- ACK
02B501FFF9FFFFFFF900000000FFFFFFFB7F03B0 --><-- ACK
02B601FF10FFFFFF1000000000FFFFFFFB7F03B3 --><-- ACK
02B701FF11FFFFFF1100000000FFFFFFFB7F03B2 --><-- ACK
02B801FF12FFFFFF1200000000FFFFFFFB7F03BD --><-- ACK
02B901FF13FFFFFF1300000000FFFFFFFB7F03BC --><-- ACK
02BA01FF14FFFFFF1400000000FFFFFFFB7F03BF --><-- ACK
02BB01FF15FFFFFF1500000000FFFFFFFB7F03BE --><-- ACK
02BC01FF16FFFFFF1600000000FFFFFFFB7F03B9 --><-- ACK
02BD01FF17FFFFFF1700000000FFFFFFFB7F03B8 --><-- ACK
02BE01FF18FFFFFF1800000000FFFFFFFB7F03BB --><-- ACK
02BF01FF19FFFFFF1900000000FFFFFFFB7F03BA --><-- ACK
02C001FF20FFFFFF2000000000FFFFFFFB7F03C5 --><-- ACK
02C101FF21FFFFFF2100000000FFFFFFFB7F03C4 --><-- ACK
02C201FF22FFFFFF2200000000FFFFFFFB7F03C7 --><-- ACK
