LOG CRIADO EM: 27/03/2016 14:22:37
ENVIANDO A PROGRAMAÇÃO:
020100017F0300 --><-- ACK []
02020400FFFFFFF07F0309 --><-- ACK []
02030401FFFFFFF07F0309 --><-- ACK []
02040402FFFFFFF07F030D --><-- ACK []
02050403000000017F0303 --><-- ACK []
02060404FFFFFFF07F0309 --><-- ACK []
02070405FFFFFFF07F0309 --><-- ACK []
02080406FFFFFFF07F0305 --><-- ACK []
02090407000000007F030A --><-- ACK []
020A0408000000007F0306 --><-- ACK []
020B0409000000027F0304 --><-- ACK []
020C040A000000007F0302 --><-- ACK []
020D040BFFFFFFFF7F0302 --><-- ACK []
020E040CFFFFFFFF7F0306 --><-- ACK []
020F01FFF1FFFFFFF100000000FFFFFFFB7F030A --><-- ACK []
021001FFF2FFFFFFF200000000FFFFFFFB7F0315 --><-- ACK []
02110200010000FFFFFFFB7F0316 --><-- ACK []
02120200020000FFFFFFFB7F0316 --><-- ACK []
0213020201FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0312 --><-- ACK []
0214020202FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0316 --><-- ACK []
0215020203FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0316 --><-- ACK []
0216020204FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0312 --><-- ACK []
0217020205FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0312 --><-- ACK []
0218020206FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F031E --><-- ACK []
0219020207FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F031E --><-- ACK []
021A020208FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0312 --><-- ACK []
021B020209FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0312 --><-- ACK []
021C020210FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F030C --><-- ACK []
021D020211FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F030C --><-- ACK []
021E020212FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F030C --><-- ACK []
021F020213FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F030C --><-- ACK []
0220020214FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0334 --><-- ACK []
0221020215FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0334 --><-- ACK []
0222020216FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0334 --><-- ACK []
