LOG CRIADO EM: 1/10/2014 21:11:55
ENVIANDO PROGRAMAÇÃO:
029B00017F039A --><-- ACK
029C0400FFFFFFF07F0397 --><-- ACK
029D0401FFFFFFF07F0397 --><-- ACK
029E0402FFFFFFF07F0397 --><-- ACK
029F0403000000017F0399 --><-- ACK
02A00404FFFFFFF07F03AF --><-- ACK
02A10405FFFFFFF07F03AF --><-- ACK
02A20406FFFFFFF07F03AF --><-- ACK
02A30407000000007F03A0 --><-- ACK
02A40408000000007F03A8 --><-- ACK
02A50409000000027F03AA --><-- ACK
02A6040A000000007F03A8 --><-- ACK
02A7040BFFFFFFFF7F03A8 --><-- ACK
02A8040CFFFFFFFF7F03A0 --><-- ACK
02A901FFF1FFFFFFF100000000FFFFFFFB7F03AC --><-- ACK
02AA01FFF2FFFFFFF200000000FFFFFFFB7F03AF --><-- ACK
02AB01FFF3FFFFFFF300000000FFFFFFFB7F03AE --><-- ACK
02AC01FFF4FFFFFFF400000000FFFFFFFB7F03A9 --><-- ACK
02AD01FFF5FFFFFFF500000000FFFFFFFB7F03A8 --><-- ACK
02AE01FFF6FFFFFFF600000000FFFFFFFB7F03AB --><-- ACK
02AF01FFF7FFFFFFF700000000FFFFFFFB7F03AA --><-- ACK
02B001FFF8FFFFFFF800000000FFFFFFFB7F03B5 --><-- ACK
02B101FFF9FFFFFFF900000000FFFFFFFB7F03B4 --><-- ACK
02B201FF10FFFFFF1000000000FFFFFFFB7F03B7 --><-- ACK
02B301FF11FFFFFF1100000000FFFFFFFB7F03B6 --><-- ACK
02B401FF12FFFFFF1200000000FFFFFFFB7F03B1 --><-- ACK
02B501FF13FFFFFF1300000000FFFFFFFB7F03B0 --><-- ACK
02B601FF14FFFFFF1400000000FFFFFFFB7F03B3 --><-- ACK
02B701FF15FFFFFF1500000000FFFFFFFB7F03B2 --><-- ACK
02B801FF16FFFFFF1600000000FFFFFFFB7F03BD --><-- ACK
02B901FF17FFFFFF1700000000FFFFFFFB7F03BC --><-- ACK
02BA01FF18FFFFFF1800000000FFFFFFFB7F03BF --><-- ACK
